trip_id,service_id,route_id,trip_headsign,direction_id,shape_id
4503599631491906,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631491907,4503599631491877,11821949021891616,Universit̩ Paul Sabatier TOULOUSE,1,4503599631491877
4503599631492026,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492027,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492028,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492029,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492030,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492031,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492032,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492033,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492034,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492035,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492036,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492037,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492038,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492039,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492040,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492041,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492042,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492043,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492044,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492045,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492046,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492047,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492048,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492049,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492050,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492051,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
4503599631492052,4503599631491877,11821949021891616,Cours Dillon TOULOUSE,0,4503599631492026
